cpu_cycle,ppu_frame,ppu_scanline,ppu_dot,m2_phase,kind,addr,value,dmc_bytes_rem,dmc_sample_addr,dmc_irq_flag,dmc_irq_en,dmc_silence
29666,2,-1,0,L,frame,$0000,$00,0,$C000,0,0,1
59447,3,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
89227,4,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
119008,5,-1,0,L,frame,$0000,$00,0,$C000,0,0,1
148789,6,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
178569,7,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
208350,8,-1,0,L,frame,$0000,$00,0,$C000,0,0,1
238131,9,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
267911,10,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
297692,11,-1,0,L,frame,$0000,$00,0,$C000,0,0,1
327473,12,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
357253,13,-1,0,H,frame,$0000,$00,0,$C000,0,0,1
384801,14,241,121,H,W,$4010,$4F,0,$C000,0,0,1
384807,14,241,139,H,W,$4011,$00,0,$C000,0,0,1
384813,14,241,157,H,W,$4012,$FF,0,$C000,0,0,1
384819,14,241,175,H,W,$4013,$00,0,$FFC0,0,0,1
384825,14,241,193,H,W,$4015,$10,0,$FFC0,0,0,1
387034,14,-1,0,L,frame,$0000,$00,1,$FFC0,0,0,0
388911,14,15,175,H,W,$4010,$4F,1,$FFC0,0,0,0
388917,14,15,193,H,W,$4011,$00,1,$FFC0,0,0,0
388923,14,15,211,H,W,$4012,$FF,1,$FFC0,0,0,0
388929,14,15,229,H,W,$4013,$00,1,$FFC0,0,0,0
388935,14,15,247,H,W,$4015,$10,1,$FFC0,0,0,0
390612,14,30,163,L,W,$4010,$0F,1,$FFC0,0,0,0
416815,15,-1,0,H,dmc_get,$0000,$00,0,$FFC0,0,0,1
416815,15,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
446595,16,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
476376,17,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
506156,18,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
535937,19,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
565717,20,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
595498,21,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
625278,22,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
655059,23,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
684839,24,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
714620,25,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
744400,26,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
774181,27,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
803961,28,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
833742,29,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
863522,30,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
893303,31,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
923083,32,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
952864,33,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
982644,34,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1012425,35,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1042205,36,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1071986,37,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1101766,38,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1131547,39,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1161327,40,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1191108,41,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1220888,42,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1250669,43,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1280449,44,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1310230,45,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1340010,46,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1369791,47,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1399571,48,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1429352,49,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1459132,50,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1488913,51,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1518693,52,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1548474,53,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1578254,54,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1608035,55,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1637815,56,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1667596,57,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1697376,58,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1727157,59,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1756937,60,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1786718,61,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1816498,62,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1846279,63,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1876059,64,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1905840,65,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1935620,66,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
1965401,67,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
1995181,68,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2024962,69,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2054742,70,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2084523,71,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2114303,72,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2144084,73,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2173864,74,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2203645,75,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2233425,76,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2263206,77,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2292986,78,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2322767,79,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2352547,80,-1,0,H,frame,$0000,$00,0,$FFC0,0,0,1
2382328,81,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
2412108,82,-1,0,L,frame,$0000,$00,0,$FFC0,0,0,1
